timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780568645686,38,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,38,0,32
1780568645727,23,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,23,0,5
1780568645781,8,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,8,0,3
1780568645790,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568645794,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,1
1780568645800,16,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,16,0,2
1780568645817,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568645820,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645827,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,2
1780568645836,2,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,2,0,1
1780568645839,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568645844,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,2
1780568645853,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568645857,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645864,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568645872,2,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,2,0,1
1780568645875,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568645881,9,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,9,0,2
1780568645896,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,2
1780568645900,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568645905,6,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,6,0,2
1780568645912,2,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,2,0,1
1780568645915,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568645921,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568645929,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568645933,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645939,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,2
1780568645948,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568645951,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645957,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568645965,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568645968,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645975,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,1
1780568645983,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568645986,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568645992,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568646005,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,2
1780568646009,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568646014,6,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,6,0,2
1780568646021,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568646024,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568646030,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568646038,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568646041,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,3
1780568646048,6,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,6,0,1
1780568646055,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568646058,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568646063,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568646071,2,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,2,0,1
1780568646074,4,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,4,0,1
1780568646079,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568646086,5,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,5,0,2
1780568646091,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,3
1780568646098,6,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,6,0,1
1780568646108,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,2
1780568646112,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780568646117,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,5,0,1
1780568646122,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568646125,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
