timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780567581118,46,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,45,0,37
1780567581202,17,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,234,1,1,http://host.docker.internal:8080/api/auth/login,17,0,5
1780567581251,5,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,3
1780567581257,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567581262,4,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,4,0,2
1780567581266,5,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,5,0,3
1780567581272,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567581277,3,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,3,0,1
1780567581282,4,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,2
1780567581287,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,3
1780567581292,5,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,5,0,3
1780567581298,5,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,5,0,2
1780567581304,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,1
1780567581308,4,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,4,0,2
1780567581313,4,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,2
1780567581318,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567581323,4,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,4,0,3
1780567581328,4,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,2
1780567581339,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567581344,4,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,234,1,1,http://host.docker.internal:8080/api/auth/login,4,0,2
1780567581348,4,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,2
1780567581352,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567581356,5,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,1,1,http://host.docker.internal:8080/api/auth/login,5,0,4
1780567581362,4,GET /api/todos,404,Not Found,Users 1-1,text,false,,303,134,1,1,http://host.docker.internal:8080/api/todos,4,0,2
1780567581367,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567581372,4,POST /api/auth/login,404,Not Found,Users 1-1,text,false,,303,238,2,2,http://host.docker.internal:8080/api/auth/login,4,0,2
1780567581375,4,GET Frontend /,200,OK,Users 1-2,text,true,,582,125,2,2,http://host.docker.internal:8080/,4,0,2
