timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780568194844,40,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,40,0,33
1780568194888,19,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,234,1,1,http://host.docker.internal:3003/api/auth/login,19,0,5
1780568194960,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,3
1780568194966,5,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,5,0,2
1780568194972,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,238,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780568194977,3,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,3,0,1
1780568194981,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780568194984,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,238,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780568194989,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,3,0,2
1780568194993,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780568194997,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,238,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780568195002,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780568195007,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780568195011,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,238,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780568195016,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,1
1780568195020,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780568195023,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,238,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568195029,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,2
1780568195040,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780568195043,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,234,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568195048,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,2
1780568195053,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,1
