timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780568316955,38,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,38,0,31
1780568316994,21,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,21,0,5
1780568317044,21,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,21,0,3
1780568317065,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,3
1780568317069,10,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,10,0,2
1780568317079,153,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,153,0,2
1780568317233,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568317236,7,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,7,0,2
1780568317244,9,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,9,0,2
1780568317254,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,2,0,1
1780568317257,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568317263,9,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,9,0,2
1780568317272,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317275,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568317282,9,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,9,0,2
1780568317292,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568317295,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568317302,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,1
1780568317314,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,2
1780568317318,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568317325,6,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,6,0,1
1780568317331,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317335,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568317341,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,2
1780568317348,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317352,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568317357,11,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,11,0,2
1780568317369,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568317372,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568317378,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568317386,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317389,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568317395,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,2
1780568317403,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317406,6,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780568317413,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568317424,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317428,4,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,280,240,1,1,http://host.docker.internal:3003/api/auth/login,4,0,1
1780568317433,6,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,281,190,1,1,http://host.docker.internal:3001/api/todos,5,0,1
1780568317439,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,4,0,2
1780568317443,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568317449,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568317456,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317460,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568317466,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568317473,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,1
1780568317476,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780568317482,7,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,7,0,1
1780568317489,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
1780568317492,5,POST /api/auth/login,200,OK,Users 1-1,text,true,,395,244,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780568317497,8,GET /api/todos,200,OK,Users 1-1,text,true,,312,333,1,1,http://host.docker.internal:3001/api/todos,8,0,2
1780568317505,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,157,1,1,http://host.docker.internal:8080/,3,0,2
