timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780567718272,43,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,42,0,35
1780567718316,49,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,234,1,1,http://host.docker.internal:3003/api/auth/login,49,0,5
1780567718366,7,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,7,0,3
1780567718373,5,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,3
1780567718378,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780567718384,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718390,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,1
1780567718393,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780567718399,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718404,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718407,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718413,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,2
1780567718418,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,3
1780567718423,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,4,0,2
1780567718428,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,1
1780567718433,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,1
1780567718436,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718441,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718452,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,3
1780567718457,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,234,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718462,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718468,2,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,2,0,1
1780567718471,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718476,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718481,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718485,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718491,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718496,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718500,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718505,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718510,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718514,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718519,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718524,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567718528,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,6,0,3
1780567718534,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718544,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718548,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,234,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718553,6,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,6,0,2
1780567718560,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,1
1780567718564,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,2
1780567718570,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,5,0,2
1780567718575,4,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,4,0,2
1780567718580,6,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,6,0,2
1780567718586,5,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,2
1780567718591,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
1780567718595,5,POST /api/auth/login,401,Unauthorized,Users 1-1,text,false,,275,238,1,1,http://host.docker.internal:3003/api/auth/login,5,0,1
1780567718601,4,GET /api/todos,401,Unauthorized,Users 1-1,text,false,,294,134,1,1,http://host.docker.internal:3001/api/todos,4,0,1
1780567718606,3,GET Frontend /,200,OK,Users 1-1,text,true,,582,125,1,1,http://host.docker.internal:8080/,3,0,2
